Rank 50 done. Timer: {'DynCore': 15.321139005711302, 'TracerAdvection': 3.228522442281246, 'Remapping': 1.338938683271408, 'mainloop_orchestrated': 20.111588589847088, 'total': 230.66897505684756} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 49 done. Timer: {'DynCore': 15.51061768294312, 'TracerAdvection': 3.003100238274783, 'Remapping': 1.3810919262468815, 'mainloop_orchestrated': 20.111738451058045, 'total': 230.669190348126} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 26 done. Timer: {'DynCore': 15.148420554585755, 'TracerAdvection': 3.4288389668799937, 'Remapping': 1.3104742539580911, 'mainloop_orchestrated': 20.111850373912603, 'total': 230.66913244104944} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 11 done. Timer: {'DynCore': 15.189721622737125, 'TracerAdvection': 3.3843777691945434, 'Remapping': 1.3066532316152006, 'mainloop_orchestrated': 20.1119088800624, 'total': 230.6692792759277} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 0 done. Timer: {'DynCore': 15.16027759690769, 'TracerAdvection': 3.428128020139411, 'Remapping': 1.3060869339387864, 'mainloop_orchestrated': 20.11189092998393, 'total': 230.66976829711348} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 17 done. Timer: {'DynCore': 15.169254204374738, 'TracerAdvection': 3.412778349244036, 'Remapping': 1.3033472148235887, 'mainloop_orchestrated': 20.11194341792725, 'total': 230.6693169180071} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 23 done. Timer: {'DynCore': 15.360695926705375, 'TracerAdvection': 3.1842500776983798, 'Remapping': 1.341180523391813, 'mainloop_orchestrated': 20.111883477075025, 'total': 230.66959067014977} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 9 done. Timer: {'DynCore': 15.14734335639514, 'TracerAdvection': 3.4355230960063636, 'Remapping': 1.3075003591366112, 'mainloop_orchestrated': 20.111984440125525, 'total': 230.66929566510953} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 1 done. Timer: {'DynCore': 15.400295472471043, 'TracerAdvection': 3.1434232846368104, 'Remapping': 1.3455743351951241, 'mainloop_orchestrated': 20.111997130094096, 'total': 230.66989346710034} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 37 done. Timer: {'DynCore': 15.421650968492031, 'TracerAdvection': 3.124848636914976, 'Remapping': 1.33883710578084, 'mainloop_orchestrated': 20.111854115966707, 'total': 230.6668191839708} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 12 done. Timer: {'DynCore': 15.349175497423857, 'TracerAdvection': 3.205035077407956, 'Remapping': 1.3387197118718177, 'mainloop_orchestrated': 20.111872612964362, 'total': 230.66976228612475} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 5 done. Timer: {'DynCore': 15.36727826204151, 'TracerAdvection': 3.183918407652527, 'Remapping': 1.3360701687633991, 'mainloop_orchestrated': 20.112006683833897, 'total': 230.66949117509648} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 41 done. Timer: {'DynCore': 15.367479042848572, 'TracerAdvection': 3.186077718390152, 'Remapping': 1.3403315590694547, 'mainloop_orchestrated': 20.111987736076117, 'total': 230.6694818600081} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 24 done. Timer: {'DynCore': 15.130175818689167, 'TracerAdvection': 3.4443322708830237, 'Remapping': 1.3139420258812606, 'mainloop_orchestrated': 20.112054775003344, 'total': 230.6688885500189} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 22 done. Timer: {'DynCore': 15.560728782322258, 'TracerAdvection': 2.9500010011252016, 'Remapping': 1.3813397141639143, 'mainloop_orchestrated': 20.11195686715655, 'total': 230.66969778994098} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 44 done. Timer: {'DynCore': 15.138754069339484, 'TracerAdvection': 3.4475447518052533, 'Remapping': 1.3095420603640378, 'mainloop_orchestrated': 20.112032581004314, 'total': 230.6699633030221} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 21 done. Timer: {'DynCore': 15.352026538690552, 'TracerAdvection': 3.1971387460362166, 'Remapping': 1.3432174897752702, 'mainloop_orchestrated': 20.112064688000828, 'total': 230.6697746810969} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 39 done. Timer: {'DynCore': 15.353623486123979, 'TracerAdvection': 3.1979612500872463, 'Remapping': 1.3429959785426036, 'mainloop_orchestrated': 20.111899366020225, 'total': 230.6668733539991} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.












Rank 20 done. Timer: {'DynCore': 15.18276494811289, 'TracerAdvection': 3.390438114060089, 'Remapping': 1.3089566905982792, 'mainloop_orchestrated': 20.11211711820215, 'total': 230.6698104410898} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 16 done. Timer: {'DynCore': 15.352027419838123, 'TracerAdvection': 3.198011772474274, 'Remapping': 1.3453479582676664, 'mainloop_orchestrated': 20.1120616189437, 'total': 230.66944129904732} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 36 done. Timer: {'DynCore': 15.180460467585362, 'TracerAdvection': 3.393606379395351, 'Remapping': 1.3113576144678518, 'mainloop_orchestrated': 20.112058675964363, 'total': 230.66701684403233} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.


Rank 7 done. Timer: {'DynCore': 15.388807667884976, 'TracerAdvection': 3.1609467428643256, 'Remapping': 1.3445595330558717, 'mainloop_orchestrated': 20.11204136395827, 'total': 230.66952021513134} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 38 done. Timer: {'DynCore': 15.164889868116006, 'TracerAdvection': 3.4098531391937286, 'Remapping': 1.310797586105764, 'mainloop_orchestrated': 20.11212396598421, 'total': 230.6672958539566} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 4 done. Timer: {'DynCore': 15.601157837314531, 'TracerAdvection': 2.919656719081104, 'Remapping': 1.3717796471901238, 'mainloop_orchestrated': 20.112067934125662, 'total': 230.66956842504442} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 2 done. Timer: {'DynCore': 15.169750553555787, 'TracerAdvection': 3.4080098390113562, 'Remapping': 1.3071018040645868, 'mainloop_orchestrated': 20.11204416002147, 'total': 230.66999282711186} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 43 done. Timer: {'DynCore': 15.39419432869181, 'TracerAdvection': 3.156429442577064, 'Remapping': 1.3439337373711169, 'mainloop_orchestrated': 20.112094565993175, 'total': 230.6696128898766} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 6 done. Timer: {'DynCore': 15.15865366323851, 'TracerAdvection': 3.426660847850144, 'Remapping': 1.3091256718616933, 'mainloop_orchestrated': 20.112125523854047, 'total': 230.66971712489612} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 42 done. Timer: {'DynCore': 15.163644979009405, 'TracerAdvection': 3.415339788654819, 'Remapping': 1.3140686207916588, 'mainloop_orchestrated': 20.112116906093433, 'total': 230.66960471007042} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 25 done. Timer: {'DynCore': 15.381420101271942, 'TracerAdvection': 3.1596286150161177, 'Remapping': 1.3472487179096788, 'mainloop_orchestrated': 20.112079594982788, 'total': 230.66893288004212} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 3 done. Timer: {'DynCore': 15.38095697434619, 'TracerAdvection': 3.1764886376913637, 'Remapping': 1.3366355765610933, 'mainloop_orchestrated': 20.112099660094827, 'total': 230.67005575704388} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 14 done. Timer: {'DynCore': 15.369502641959116, 'TracerAdvection': 3.178210869198665, 'Remapping': 1.335810566553846, 'mainloop_orchestrated': 20.111922112992033, 'total': 230.66984463622794} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 40 done. Timer: {'DynCore': 15.614701157901436, 'TracerAdvection': 2.9103885071817786, 'Remapping': 1.3704537202138454, 'mainloop_orchestrated': 20.11215373594314, 'total': 230.66969130001962} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
SUCCESS
Rank 15 done. Timer: {'DynCore': 15.12583747995086, 'TracerAdvection': 3.4616975693497807, 'Remapping': 1.3085736073553562, 'mainloop_orchestrated': 20.112040713895112, 'total': 230.66994821699336} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 13 done. Timer: {'DynCore': 15.566791919292882, 'TracerAdvection': 2.952600063988939, 'Remapping': 1.3741771078202873, 'mainloop_orchestrated': 20.112037803046405, 'total': 230.6699653370306} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
